
. tab ciclo act1 if state=="P"|state=="T" [fweight=facexp]

           |                               act1
       173 |  49386313   68792004   85357449   66933576   72531803  335627548 |1498878776 
       174 |  48729537   68130639   85816577   68657495   71014477  332298224 |1493514138 
       175 |  47444484   70943960   85142049   68522046   75259312  348921802 |1518779353 
       176 |  45393656   72767744   84942269   69428299   77627129  363455946 |1540460954 
       177 |  50307269   74288930   87168938   71146206   76890613  350132547 |1538540997 
       178 |  53125989   73839142   86454994   72196252   76961160  341863720 |1534078210 
       179 |  52621910   75383536   90543454   71299404   81111480  358791373 |1569025179 
       180 |  47163589   75137653   92325247   72009953   81858216  371310382 |1590665214 
       181 |  52344698   78159649   90873097   75451885   82733474  357486125 |1592255448 
       182 |  53081250   75787973   91980607   74112179   82921444  344982635 |1579224441 
       183 |  52352797   75714768   95981601   75619747   88535425  369351839 |1625729723 
       184 |  47654719   73663686   98479762   76392605   90148678  384778403 |1643358614 
       185 |  51910342   76926977   94393157   76022346   93599900  367333511 |1645359038 
       186 |  52685172   76296743   95871072   76036505   94481371  356645511 |1635774906 
       187 |  49912768   79004791   97793975   76650106   94717890  376221349 |1668828229 
       188 |  45091774   81031259   98959161   76944829   93979629  389433779 |1678997992 
       189 |  49932921   79949526   96087261   75806511   95336326  380487770 |1684613900 
       190 |  49500258   79438260   97844067   75020482   94296572  364986811 |1656012589 
       191 |  48669555   76346116   91775310   72093177   85003752  327997750 |1552684926 
       192 |  45361271   74809047   96475592   73540035   93923801  347114552 |1610804861 
       193 |  50279871   74470259   96249793   75255092   94405373  332242346 |1624152006 
       194 |  51624730   72661742   94932107   73761907   91435771  323118220 |1610425445 
       195 |  52626459   73692411   95545250   73308461   96761460  338294729 |1650740974 
       196 |  47609865   74400374   99047231   75267805   96998247  363154074 |1691655067 
       197 |  53833260   76030138   99431699   74844704   94795392  350871887 |1697424089 
       198 |  53838369   76146372   97094112   72460146   96585481  347701579 |1692849085 
       199 |  50318850   80155903  100934748   72153417   98014281  371198757 |1730392752 
       200 |  44065849   79896115  100516756   75892199   98457361  377379656 |1740320316 
       201 |  46375628   82091847   98753818   75883978   94731895  369133882 |1737150945 
-----------+------------------------------------------------------------------+----------
     Total |3353691766 5583249783 6903972823 5331870070 8360583648  2.426e+10 | 1.137e+11 


           |                    act1
     ciclo |         6          7          8          9 |     Total
-----------+--------------------------------------------+----------
       130 |  89123456  167322413  330177386  127233189 |1521132904 
       131 |  89395468  178508540  334894549  131395669 |1568973825 
       132 |  92096375  179498845  335516474  137484944 |1596930315 
       133 |  90847494  184723228  340927370  132885190 |1602523195 
       134 |  91394553  187400016  343571402  137856225 |1606850039 
       135 |  91506183  187301722  341105425  140650402 |1630017283 
       136 |  97581398  194373117  338417232  142638534 |1654870918 
       137 |  95659153  199234345  348765580  140083045 |1664493292 
       138 |  94836889  202498932  348099237  142541667 |1670127421 
       139 |  98887266  205017673  353372276  143196335 |1698140089 
       140 |  97228059  208498842  350378061  144601594 |1709463284 
       141 |  96420128  211959664  353191605  142554863 |1709496171 
       142 | 123967934  198938235  350471184  127330311 |1701006348 
       143 | 126176423  199772330  359725241  129942313 |1703753508 
       144 | 131007948  201046323  361577831  131308381 |1692009541 
       145 | 131299336  195515186  373650814  129253081 |1647723490 
       146 | 125327833  194359632  374666709  122632244 |1601304220 
       147 | 122729840  194818059  378558261  123639698 |1592314213 
       148 | 123051955  191819068  381931203  128346879 |1586375876 
       149 | 123858789  192222493  383586673  127728745 |1572458127 
       150 | 119366502  189062366  388151321  128759806 |1548960261 
       151 | 120316085  191517995  389788636  128605044 |1561986722 
       152 | 124145817  193540339  391862508  129196279 |1570511132 
       153 | 122733898  188892540  397115193  124564221 |1555470531 
       154 | 119424712  190076541  399136348  121125341 |1536740519 
       155 | 120474526  193257947  402851250  126185479 |1557953758 
       156 | 120790573  187785364  399354812  123879593 |1547933089 
       157 | 119489599  186558249  396267604  119564139 |1515053155 
       158 | 117563839  184593541  393746763  118761711 |1472371788 
       159 | 116805732  185977381  389802145  115304834 |1464146224 
       160 | 115571802  186634556  377308369  120127022 |1456086229 
       161 | 114578425  182472144  374961149  117600766 |1428866845 
       162 | 111898347  180117464  368177056  117072256 |1398698266 
       163 | 112799184  177808349  368976008  119830720 |1407218098 
       164 | 115601854  183486161  362855316  119000271 |1412385227 
       165 | 116216680  181624843  367051894  115509050 |1409343308 
       166 | 111543604  176736153  371429060  114803136 |1392946752 
       167 | 113923839  184226128  375184770  120546607 |1431746011 
       168 | 115812414  184802219  368158044  123309762 |1441314329 
       169 | 115134711  186545002  375915353  120590585 |1448308910 
       170 | 111673493  185407692  376824175  117227302 |1439389127 
       171 | 115645991  187787391  377703515  119303729 |1476228133 
       172 | 119753137  190266542  375818359  121902129 |1494893251 
       173 | 122394809  191893338  385579819  120382117 |1498878776 
       174 | 121669648  191321926  386567106  119308509 |1493514138 
       175 | 122277180  191792243  388263288  120212989 |1518779353 
       176 | 122561771  195573258  387136378  121574504 |1540460954 
       177 | 125074403  195112526  388077644  120341921 |1538540997 
       178 | 123386111  196099736  390519807  119631299 |1534078210 
       179 | 125156377  197250543  394185772  122681330 |1569025179 
       180 | 129545733  199689911  394219376  127405154 |1590665214 
       181 | 130223494  196409113  402012222  126561691 |1592255448 
       182 | 130829806  195478574  406234787  123815186 |1579224441 
       183 | 132046948  200861631  409725435  125539532 |1625729723 
       184 | 132208737  203241977  409059554  127730493 |1643358614 
       185 | 136556040  205476637  419437583  123702545 |1645359038 
       186 | 136931177  202078566  420091868  124656921 |1635774906 
       187 | 141601013  208448041  419436197  125042099 |1668828229 
       188 | 139948607  211161829  416485571  125961554 |1678997992 
       189 | 142598645  213174004  426633071  124607865 |1684613900 
       190 | 139984629  210775501  423231927  120934082 |1656012589 
       191 | 134141638  200289236  412002710  104365682 |1552684926 
       192 | 136740495  206709535  422031818  114098715 |1610804861 
       193 | 137872941  211147950  437043663  115184718 |1624152006 
       194 | 140249008  212737620  440548014  109356326 |1610425445 
       195 | 139632572  213230827  449094398  118554407 |1650740974 
       196 | 146008359  224175979  445719575  119273558 |1691655067 
       197 | 153660288  226581340  455182534  112192847 |1697424089 
       198 | 155993698  220576325  455137291  117315712 |1692849085 
       199 | 157159147  219678903  460131693  120647053 |1730392752 
       200 | 160753154  223731125  458632757  120995344 |1740320316 
       201 | 162235149  223701339  466051831  118191578 |1737150945 
-----------+--------------------------------------------+----------
     Total |8803102821  1.414e+10  2.804e+10 8956338822 | 1.137e+11 

. log close
