
. tab ciclo rznotb [fweight=facexp] if sexo1==0&inactive&age3040&husband==1

           |                                    rznotb
       161 |         0          0          0          0          0    318,625          0 |   544,661 
       162 |         0          0          0          0          0    201,967          0 |   313,074 
       163 |         0     51,546          0          0          0     93,165          0 |   459,153 
       164 |         0     64,536          0          0          0     71,666          0 |   243,617 
       165 |         0          0          0          0     17,937    129,197          0 |   317,926 
       166 |         0     33,288          0          0          0     59,048          0 |   330,404 
       167 |         0    108,022          0          0          0     46,103          0 |   251,282 
       168 |         0          0          0          0          0    303,172          0 |   384,330 
       169 |         0          0          0          0     95,130     71,717          0 |   166,847 
       170 |         0          0          0          0          0    412,321          0 |   430,359 
       171 |         0     98,669          0          0    119,647     75,390          0 |   311,942 
       172 |         0     50,095          0          0          0     80,883          0 |   187,091 
       173 |         0     67,791          0          0          0    284,903          0 |   352,694 
       174 |         0    128,467          0          0          0    192,591          0 |   362,076 
       175 |         0     23,185          0          0          0    106,279          0 |   129,464 
       176 |         0     21,793          0          0          0    294,649          0 |   356,376 
       177 |         0     20,843          0          0     13,187    276,389          0 |   412,542 
       178 |         0     20,860          0          0          0    390,021          0 |   541,850 
       179 |         0          0          0          0          0    129,415          0 |   243,660 
       180 |         0          0          0          0          0     24,133          0 |    24,133 
       181 |         0          0          0          0          0    372,714          0 |   410,658 
       182 |         0     10,918          0     16,763          0    328,513          0 |   418,132 
       183 |         0     65,337          0          0          0    102,597          0 |   167,934 
       184 |         0     43,478          0          0          0     58,724          0 |   204,955 
       185 |         0     29,558          0          0     29,914    101,767          0 |   324,309 
       186 |         0          0          0          0          0    328,468          0 |   414,526 
       187 |         0          0          0          0          0     82,366          0 |    82,366 
       188 |         0          0          0          0          0     41,282          0 |   148,157 
       189 |         0     46,014          0          0          0    388,254          0 |   434,268 
       190 |         0          0          0          0          0    263,046          0 |   756,430 
       191 |         0     32,142          0          0          0    122,144          0 | 2,378,064 
       192 |         0          0          0          0          0    310,013          0 | 1,690,198 
       193 |         0          0          0          0     19,458    270,029          0 | 1,176,953 
       194 |         0          0          0          0          0     90,408          0 | 2,154,267 
       195 |         0          0          0          0    115,980          0          0 |   921,285 
       196 |         0          0          0          0          0     48,867          0 |   439,590 
       197 |         0          0          0          0          0    149,211          0 |   581,375 
       198 |         0     51,220          0          0          0     17,925          0 |   110,717 
       199 |         0          0          0          0          0          0          0 |   225,027 
       200 |         0     32,947          0          0          0    173,499          0 |   416,821 
       201 |         0     30,753          0          0    104,347    123,598          0 |   357,836 
-----------+-----------------------------------------------------------------------------+----------
     Total |    13,969  1,458,588     93,240     32,511  1,147,201 10,232,509     23,740 |27,840,373 


           |                              rznotb
     ciclo |        10         11         12         13         14         15 |     Total
-----------+------------------------------------------------------------------+----------
       130 |         0    125,669          0          0     19,413     16,564 |   383,401 
       131 |         0          0          0          0          0     14,694 |   254,474 
       132 |         0          0          0          0          0          0 |   129,429 
       133 |         0          0          0          0          0      9,040 |   249,974 
       134 |         0          0          0          0          0          0 |    69,964 
       135 |         0          0          0          0          0     86,192 |   293,633 
       136 |         0     14,046          0          0          0          0 |    94,157 
       137 |         0          0          0          0          0          0 |   275,071 
       138 |         0          0          0          0          0     62,084 |   236,793 
       139 |         0          0          0          0          0     42,279 |   118,858 
       140 |         0          0          0          0          0          0 |    60,671 
       141 |         0          0     30,738          0          0          0 |   359,391 
       142 |         0          0          0          0          0          0 |   257,807 
       143 |         0     19,300          0          0          0          0 |   159,758 
       144 |         0     11,547          0          0          0          0 |    67,605 
       145 |         0          0          0          0          0          0 |   123,643 
       146 |         0     27,380          0          0          0     33,150 |   273,391 
       147 |    69,088     40,841          0          0          0          0 |   128,878 
       148 |    60,847    173,134          0          0          0          0 |   396,575 
       149 |         0    119,043          0          0          0          0 |   245,746 
       150 |         0     86,245     18,423          0          0          0 |   235,389 
       151 |    19,894    175,186          0          0          0          0 |   303,620 
       152 |     4,539    141,667     19,538          0          0          0 |   334,563 
       153 |         0     71,118          0          0          0          0 |   148,220 
       154 |         0     50,867          0          0          0     32,548 |   230,321 
       155 |    17,660    167,751     98,184          0     36,090     31,293 |   518,015 
       156 |         0     99,014          0          0          0     16,372 |   194,041 
       157 |         0    170,769          0          0     28,250          0 |   212,193 
       158 |   264,838    215,866          0          0     25,214          0 |   597,470 
       159 |   100,139     39,240          0          0          0     19,662 |   415,166 
       160 |         0    137,688     50,231     46,815          0          0 |   294,807 
       161 |    13,391    179,089          0          0     26,773      6,783 |   544,661 
       162 |         0     71,417          0          0          0     39,690 |   313,074 
       163 |         0    298,431          0          0          0     16,011 |   459,153 
       164 |         0     72,632          0          0          0     34,783 |   243,617 
       165 |         0    135,672          0          0     35,120          0 |   317,926 
       166 |         0    175,534          0          0          0     62,534 |   330,404 
       167 |         0     59,348     37,809          0          0          0 |   251,282 
       168 |         0     81,158          0          0          0          0 |   384,330 
       169 |         0          0          0          0          0          0 |   166,847 
       170 |         0          0     18,038          0          0          0 |   430,359 
       171 |         0          0     18,236          0          0          0 |   311,942 
       172 |         0     36,537          0          0     19,576          0 |   187,091 
       173 |         0          0          0          0          0          0 |   352,694 
       174 |         0          0          0          0          0     41,018 |   362,076 
       175 |         0          0          0          0          0          0 |   129,464 
       176 |         0     21,756          0          0     18,178          0 |   356,376 
       177 |         0     54,771          0          0          0     47,352 |   412,542 
       178 |         0    100,890          0          0          0     30,079 |   541,850 
       179 |    27,960     86,285          0          0          0          0 |   243,660 
       180 |         0          0          0          0          0          0 |    24,133 
       181 |         0          0          0          0     11,685     26,259 |   410,658 
       182 |         0          0          0          0          0     61,938 |   418,132 
       183 |         0          0          0          0          0          0 |   167,934 
       184 |         0          0     53,420          0     12,413     36,920 |   204,955 
       185 |         0     52,126          0          0     24,584     86,360 |   324,309 
       186 |         0          0          0          0     14,726     71,332 |   414,526 
       187 |         0          0          0          0          0          0 |    82,366 
       188 |         0          0          0          0          0    106,875 |   148,157 
       189 |         0          0          0          0          0          0 |   434,268 
       190 |   137,110    356,274          0          0          0          0 |   756,430 
       191 |   305,413  1,686,747          0          0          0    231,618 | 2,378,064 
       192 |         0  1,355,288          0          0          0     24,897 | 1,690,198 
       193 |   104,314    783,152          0          0          0          0 | 1,176,953 
       194 |   423,307  1,545,494          0          0          0     95,058 | 2,154,267 
       195 |   194,702    603,451          0          0          0      7,152 |   921,285 
       196 |    32,535    264,852          0          0          0     93,336 |   439,590 
       197 |    28,810     69,411          0          0    101,018    232,925 |   581,375 
       198 |         0     41,572          0          0          0          0 |   110,717 
       199 |         0     38,133          0          0    186,894          0 |   225,027 
       200 |         0          0          0          0          0    210,375 |   416,821 
       201 |         0     63,567          0          0     35,571          0 |   357,836 
-----------+------------------------------------------------------------------+----------
     Total | 1,804,547 10,119,958    344,617     46,815    595,505  1,927,173 |27,840,373 

. log close
